video_id,video_url,title,upload_datetime,view_count,like_count,comment_count,tags,guest_type,topic_category,format_type,View_Count_Log,Estimated_Income_INR,duration,Title_Length,Description_Length,upload_hour,upload_dow,Days_Since_Published,guest_type_Diplomat,guest_type_Military_Veteran,guest_type_Other,guest_type_Politician,topic_category_Defense_Analysis,topic_category_Foreign_Policy,topic_category_General,topic_category_Geopolitics,topic_category_Internal_Affairs,format_type_Interview,format_type_Monologue_Explainer,format_type_Panel_Discussion
UVud-YM7M5Q,https://www.youtube.com/watch?v=UVud-YM7M5Q,India’s air-defence is ready to hunt down its enemies | Major Gaurav Arya The Chanakya Dialogues |,19-05-2025,887202,42321,3200,"[""the chanakya dialogues"", ""major gaurav arya"", ""india pakistan war"", ""india pakistan ceasefire"", ""operation sindoor"", ""india air defence"", ""indian defence systems"", ""s-400 triumf"", ""prithvi air defence"", ""india pakistan conflicts"", ""india russia relations"", ""indian army"", ""iaf"", ""indian navy"", ""brahmos missile"", ""akas missile"", ""spyder missile"", ""barak 8 missile"", ""jyoti malhotra"", ""donald trump"", ""dr s jaishankar"", ""paf"", ""us embassy warning"", ""joe biden"", ""gaurav gogoi"", ""2k12 kub kvadrat"", ""s-125 pechora"", ""drdo"", ""tcd hindi""]",Military_Veteran,Foreign_Policy,Interview,13.6958291,106464.24,1169,98,1745,0,0,90,0,1,0,0,0,1,0,0,0,1,0,0
CkBntg5lcEs,https://www.youtube.com/watch?v=CkBntg5lcEs,Jammu and Kashmir Rifles - Prashasta Ranvirta - Warriors of Sun and Snow Part 2 | Major Gaurav Arya,18-05-2025,181016,10849,1000,"[""Indian Army"", ""Steel Fist"", ""The Chanakya Dialogues"", ""Major Gaurav Arya"", ""Jammu & Kashmir Rifles"", ""JAK Rif"", ""Jammu and Kashmir Rifles Regiment"", ""Captain Vikram Batra"", ""Subedar Major (Rifleman) Sanjay Kumar"", ""Operation Vijay 1999"", ""Captain Vikram Batra Regiment"", ""Indian Army Regiment"", ""General Upendra Dwivedi"", ""Gen Zorawar Singh""]",Military_Veteran,Foreign_Policy,Interview,12.10634623,21721.92,2731,99,1871,0,6,91,0,1,0,0,0,1,0,0,0,1,0,0
UMyckk4ihOI,https://www.youtube.com/watch?v=UMyckk4ihOI,Steel Fist - Jammu And Kashmir Rifles Promo Part 2 | The Chanakya Dialogues | Major Gaurav Arya |,17-05-2025,30438,1555,98,[],Military_Veteran,General,Interview,10.32347996,3652.56,63,97,1380,0,5,92,0,1,0,0,0,0,1,0,0,1,0,0
vs0L-Xw4m9A,https://www.youtube.com/watch?v=vs0L-Xw4m9A,"Zero Tolerance for Terror, India Sends Tharoor to UN | Major Gaurav Arya | The Chanakya Dialogues",17-05-2025,872031,41094,3900,"[""the chanakya dialogues"", ""major gaurav arya"", ""india pakistan war"", ""operation sindoor"", ""p. v. narasimha rao"", ""bjp"", ""congress"", ""india pakistan ceasefire"", ""pahalgam attack"", ""shashi tharoor"", ""india pakistan tensions"", ""pm modi"", ""unsc"", ""kiren rijiju"", ""congress party"", ""indian foreign policy"", ""all-party delegation"", ""jairam ramesh"", ""diplomatic outreach"", ""anand sharma"", ""gaurav gogoi"", ""supriya sule"", ""kanimozhi karunanidhi"", ""ravi shankar prasad"", ""baijayant panda"", ""international relations"", ""india diplomacy""]",Military_Veteran,Foreign_Policy,Interview,13.6785814,104643.72,633,97,1797,0,5,92,0,1,0,0,0,1,0,0,0,1,0,0
91m_A_TbU6Y,https://www.youtube.com/watch?v=91m_A_TbU6Y,India Plans to Hit Pakistan From Durand to LOC | Op Sindoor The Chanakya Dialogues Major Gaurav Arya,16-05-2025,1629436,82651,6400,"[""India Pakistan Ceasefire"", ""India Pakistan War"", ""Operation Sindoor"", ""Afghan Taliban"", ""MEA S Jaishankar"", ""Afghanistan"", ""Afghanistan India Relations"", ""Pahalgam Attack"", ""Taliban Foreign Minister"", ""Indian Defence"", ""Defence Minister Rajnath Singh"", ""Free Balochistan"", ""Taliban"", ""Celebi Shares"", ""Celebi Aviation India"", ""Boycott Turkey"", ""Pakistan Nuclear Leak"", ""Kirana Hills"", ""Nuclear Leak Pakistan"", ""Awacs Aircraft Pakistan"", ""India Strikes Pakistan"", ""The Chanakya Dialogues"", ""Major Gaurav Arya"", ""tcd hindi""]",Diplomat,Geopolitics,Interview,14.30374511,195532.32,1326,100,2018,0,4,93,1,0,0,0,0,0,0,1,0,1,0,0
E4nFkfWrMXo,https://www.youtube.com/watch?v=E4nFkfWrMXo,A Veteran’s Plea: Protecting the Honor of Our Forces | Major Gaurav Arya | The Chanakya Dialogues |,16-05-2025,714409,33590,8200,"[""the chanakya dialogues"", ""major gaurav arya"", ""bjp mla"", ""indian army"", ""indian armed forces"", ""vyomika singh"", ""ramgopal yadav's remark on vyomika singh"", ""kunwar vijay shah"", ""samajwadi party"", ""yogi adityanath"", ""pm modi"", ""operation sindoor"", ""indian air force"", ""kunwar vijay shah remark on sophia qureshi"", ""vijay shah controversy"", ""madhya pradesh minister vijay shah"", ""vijay shah on sofia qureshi"", ""madhya pradesh minister speech"", ""pahalgam attack"", ""india political controversy"", ""india pakistan war""]",Military_Veteran,General,Interview,13.47921231,85729.08,685,99,1752,0,4,93,0,1,0,0,0,0,1,0,0,1,0,0
BuBw_oGFX6c,https://www.youtube.com/watch?v=BuBw_oGFX6c,Rajnath Singh questions safety of nuclear weapons in Pak | Major Gaurav Arya The Chanakya Dialogues,15-05-2025,1250248,48001,5900,"[""pakistan"", ""rajnath singh"", ""india"", ""operation dost"", ""turkey"", ""pm modi"", ""indian army"", ""asim munir"", ""pakistan nuclear"", ""major gaurav arya"", ""balochistan"", ""balochistan freedom"", ""munir shehbaz"", ""pakistan india"", ""rajnath singh srinagar"", ""srinagar"", ""jammu kashmir"", ""turkish drones"", ""turkey pakistan"", ""azerbaijan"", ""armenia"", ""israel india pakistan"", ""iran major gaurav arya"", ""major gaurav arya iran"", ""pakistan iran"", ""the chanakya dialougues"", ""tcd"", ""tcd hindi"", ""tcd major"", ""operation sindoor"", ""Rajnath Singh visits Srinagar""]",Diplomat,Defense_Analysis,Interview,14.03885329,150029.76,2453,99,2590,0,3,94,1,0,0,0,1,0,0,0,0,1,0,0
mUSFVsSdfrI,https://www.youtube.com/watch?v=mUSFVsSdfrI,Operation Sindoor: How did Indian Armed Forces Hit PAK? | The Chanakya Dialogues Major Gaurav Arya |,15-05-2025,662957,26223,2800,"[""The Chanakya Dialogues"", ""Major Gaurav Arya"", ""Operation Sindoor"", ""India Pakistan conflict"", ""Safehouse meeting"", ""Midnight military decision"", ""Strategic shift"", ""Indian Armed Forces"", ""Pakistan airbase strike"", ""Modi Pakistan response"", ""India strikes back"", ""Indian military operation"", ""Ajit Doval""]",Military_Veteran,General,Interview,13.40446692,79554.84,887,100,1488,0,3,94,0,1,0,0,0,0,1,0,0,1,0,0
SkquTAMyywo,https://www.youtube.com/watch?v=SkquTAMyywo,India’s Digital Strike: China & Turkey Targeted | Major Gaurav Arya The Chanakya Dialogues |,14-05-2025,1420729,66510,7800,"[""the chanakya dialogues"", ""major gaurav arya"", ""india pakistan ceasefire"", ""india pakistan war"", ""india pakistan tensions"", ""asim munir"", ""shehbaz sharif"", ""pak propaganda"", ""india china ties"", ""india china relations"", ""bsf"", ""india vs pakistan"", ""indian drones strikes pakistan"", ""pahalgam terror attack"", ""operation keller"", ""operation sindoor"", ""india attacks pakistan"", ""donald trump"", ""global times"", ""xinhua news"", ""ban"", ""india blocks china x accounts"", ""J-10 Fighter Jets"", ""China Aerospace"", ""Avic Chengdu Aircraft""]",Military_Veteran,Geopolitics,Interview,14.16668138,170487.48,1795,92,1805,0,2,95,0,1,0,0,0,0,0,1,0,1,0,0
CFmPvzXv7cs,https://www.youtube.com/watch?v=CFmPvzXv7cs,"Inside the Ceasefire:China’s Anger, America’s Satisfaction|The Chanakya Dialogues|Major Gaurav Arya|",14-05-2025,1119215,36991,4800,"[""India-Pakistan ceasefire"", ""China’s frustration"", ""America’s satisfaction"", ""Geopolitical strategies"", ""South Asian diplomacy"", ""Political and military strategies"", ""India’s sovereign stance"", ""International reactions"", ""Geopolitical game"", ""Ceasefire dynamics"", ""Major Gaurav Arya analysis"", ""India-Pakistan conflict"", ""Ceasefire implications"", ""India-Pakistan relations"", ""China-India-Pakistan relations"", ""Diplomatic moves"", ""Strategic analysis"", ""South Asia conflict resolution""]",Diplomat,Geopolitics,Interview,13.928139,134305.8,967,100,2070,0,2,95,1,0,0,0,0,0,0,1,0,1,0,0
