video_id,video_url,title,upload_datetime,view_count,like_count,comment_count,tags,guest_type,topic_category,format_type,View_Count_Log,Estimated_Income_INR,duration,Title_Length,Description_Length,upload_hour,upload_dow,Days_Since_Published,guest_type_Diplomat,guest_type_Military_Veteran,guest_type_Other,guest_type_Politician,topic_category_Defense_Analysis,topic_category_Foreign_Policy,topic_category_General,topic_category_Geopolitics,topic_category_Internal_Affairs,format_type_Interview,format_type_Monologue_Explainer,format_type_Panel_Discussion
qXaF1t4ztRg,https://www.youtube.com/watch?v=qXaF1t4ztRg,Make in America! U.S. Tariff War and Its Global Impact | The Chanakya Dialogue | Major Gaurav Arya |,29-03-2025,110524,3800,128,"[""USA"", ""Donald Trump"", ""Trump Tariff"", ""Canada"", ""Mexico"", ""US Tariff on China"", ""US Mexico Relation"", ""US Tariff"", ""Mark Carney"", ""Trump's Auto Tariff"", ""USA President"", ""Trade War"", ""US Tariff Mexico"", ""Trump on Auto Import"", ""China USA Tariff War"", ""India USA Tariff"", ""Donald Trump Tariffs"", ""Car Tariffs"", ""Auto Tariffs"", ""Canadian Prime Minister"", ""US Tariff War"", ""Trump Trade War"", ""The Chanakya Dialogues"", ""Major Gaurav Arya""]",Military_Veteran,Geopolitics,Interview,11.61299702,13262.88,656,100,1997,0,5,141,0,1,0,0,0,0,0,1,0,1,0,0
at3xdCSW5fQ,https://www.youtube.com/watch?v=at3xdCSW5fQ,China Offers Friendship to India After Trump's Tariff| The Chanakya Dialogues | Major Gaurav Arya |,08-03-2025,1110714,39003,2500,"[""Donald Trump"", ""President Trump"", ""Xi Jin Ping"", ""PM Modi"", ""India China Relation"", ""Elon Musk"", ""Russia"", ""India US Relation"", ""Trump Tariffs"", ""Line of Actual Control"", ""Reciprocal Tariffs"", ""India China Conflicts"", ""Chinese Goods"", ""Trump Tariffs on India"", ""Trump Tariffs on China"", ""Galwan Valley"", ""India China Border Dispute"", ""Zelenskyy"", ""The Chanakya Dialogues"", ""Major Gaurav Arya"", ""India Russia Relation"", ""F-15 Eagle"", ""Tariff War"", ""Joe Biden"", ""Geopolitics"", ""tcd video"", ""major gaurav arya new video""]",Military_Veteran,Geopolitics,Interview,13.92051451,133285.68,942,99,1906,0,5,162,0,1,0,0,0,0,0,1,0,1,0,0
Rm79yXU3p80,https://www.youtube.com/watch?v=Rm79yXU3p80,India Fights Back: No Mercy for Terror |  Major Gaurav Arya | The Chanakya Dialogues Hindi|,27-04-2025,2613980,133177,21000,"[""The Chanakya Dialogues"", ""Major Gaurav Arya"", ""TRF"", ""The Resistance Front"", ""Shehbaz Sharif"", ""Pakistan"", ""Pahalgam Terror Attack"", ""Pahalgam Terrorist Attack"", ""26/11 Attack"", ""India Pakistan Conflict"", ""Indian Army"", ""Pakistan Government"", ""India Pakistan Border"", ""POK"", ""Line of Control"", ""Kashmir Attack"", ""Hafiz Saeed"", ""Lashkar-e-Taiba"", ""Baloch Liberation Army"", ""BLA"", ""Balochistan"", ""Kashmir Issue"", ""Kashmir Dispute"", ""India Pakistan Tension"", ""Iran"", ""Hamas"", ""Hezbollah"", ""Israel Gaza War"", ""Pahalgam Tourist Attack"", ""Asim Munir""]",Military_Veteran,General,Interview,14.7763849,313677.6,1228,91,1853,0,6,112,0,1,0,0,0,0,1,0,0,1,0,0
mSLIiwPT4z4,https://www.youtube.com/watch?v=mSLIiwPT4z4,Trump threatens 50% tariff hike: China vows to fight till the end |The Chanakya Dialogues Major Arya,08-04-2025,786387,27718,1900,"[""US vs China"", ""Tarrif War"", ""Donald Trump"", ""Trump Administration"", ""Trump Tariff"", ""US Economy"", ""Trade War"", ""Trump Tariff on China"", ""Elon Musk"", ""China Economy"", ""US China Relation"", ""India US Relation"", ""US China Conflicts"", ""America First Policy"", ""China Border"", ""Stock Market Crash"", ""Indian Government"", ""Share Market"", ""Chinese Market"", ""Chinese Economy"", ""Trump Trade Policy"", ""The Chanakya Dialogues"", ""Major Gaurav Arya"", ""TCD new video"", ""European Union"", ""chanakya dialogues hindi"", ""trump threatens""]",Military_Veteran,Geopolitics,Interview,13.57520559,94366.44,1395,100,1963,0,1,131,0,1,0,0,0,0,0,1,0,1,0,0
YJwS2GTnmoE,https://www.youtube.com/watch?v=YJwS2GTnmoE,"US Strikes, Israel Attacks – The Hidden Battle for Oil & Power|The Chanakya Dialogues |Major Gaurav|",21-03-2025,62747,2970,121,"[""America"", ""Yemen"", ""Israel"", ""Houthies"", ""Gaza"", ""Trump"", ""Benjamin Netanyahu"", ""Red Sea"", ""Middle East"", ""Oil Trade"", ""Hamas"", ""Major Gaurav Arya"", ""The Chanakya Dialogues Hindi"", ""Trade"", ""USA"", ""Palestine"", ""Donald Trump"", ""Essam al- Dalis"", ""Dig baby dig"", ""United States Of America"", ""Iran"", ""Israel Gaza War""]",Military_Veteran,General,Interview,11.04688198,7529.64,298,100,1720,0,4,149,0,1,0,0,0,0,1,0,0,1,0,0
ZEDsMa9kIMk,https://www.youtube.com/watch?v=ZEDsMa9kIMk,"India Rains Fire from the Sky, Pakistan Destroyed Overnight|Major Gaurav Arya|The Chanakya Dialogues",09-05-2025,2509933,94337,9000,"[""the chanakya dialogues"", ""major gaurav arya"", ""operations sindoor"", ""indian strikes pakistan"", ""bla attack pakistan"", ""ttp attacks pakistan"", ""indian attacks pakistan"", ""india pakistan war"", ""india pakistan conflict"", ""indian army drone strikes"", ""bsf"", ""drone strikes pakistan"", ""india army"", ""s400 missile"", ""indian drones attack pak army"", ""india missiled s400 pak"", ""indian pakistan fight"", ""indian army"", ""loc"", ""indian navy"", ""shehbaz sharif"", ""asim munir"", ""pm modi"", ""ajit doval"", ""s jaishankar"", ""rajnath singh"", ""lac"", ""iaf""]",Diplomat,Geopolitics,Interview,14.73576702,301191.96,1894,100,1781,0,4,100,1,0,0,0,0,0,0,1,0,1,0,0
XkJmMSMi650,https://www.youtube.com/watch?v=XkJmMSMi650,Donald Trump slaps China with 125% Tariff amid Trade War | The Chanakya Dialogues Major Gaurav Arya,10-04-2025,695522,32893,1700,"[""Donald Trump"", ""China"", ""Tahawwur Hussain Rana"", ""Bangladesh India Relations"", ""Chicken neck Conflict"", ""USA Vs China"", ""26/11 Attack"", ""Mumbai Attack"", ""Taj Hotel Attack"", ""Trump Tariff"", ""US China Trade"", ""Bangladesh"", ""Muhammad Yunus"", ""India Bangladesh Relation"", ""India Bangladesh Trade"", ""Major Gaurav Arya"", ""Adani Electricity in Bangladesh"", ""the chanakya dialogues"", ""chanakya dialogues hindi"", ""donald trump slaps china"", ""tcd hindi"", ""major gaurav arya on tariff war"", ""the chanakya dialogues hindi""]",Military_Veteran,Geopolitics,Interview,13.45241936,83462.64,1682,99,1998,0,3,129,0,1,0,0,0,0,0,1,0,1,0,0
u76GUoOufu0,https://www.youtube.com/watch?v=u76GUoOufu0,Creating A Defence Ecosystem in India | SSS Defence | Accops Systems | Lt. Gen. Vinod G Khandare |,04-03-2025,8712,647,32,"[""the chanakya dialogues"", ""youtube live the chanakya dialogues conclave"", ""national security"", ""foreign affairs"", ""indian defence conclave"", ""geopolitics"", ""atmanirbhar in war"", ""atmanirbhar bharat"", ""national security conclave"", ""indian army"", ""indian navy"", ""indian air force"", ""indian defence"", ""indian military"", ""major gaurav arya"", ""defence reforms"", ""geopolitical conclave"", ""indian armed forces"", ""indian defence sector"", ""defence conclave"", ""army conclave"", ""military and defence"", ""chanakya forum"", ""tcd hindi""]",Military_Veteran,General,Interview,9.072571442,1045.44,2211,98,1542,0,1,166,0,1,0,0,0,0,1,0,0,1,0,0
CFmPvzXv7cs,https://www.youtube.com/watch?v=CFmPvzXv7cs,"Inside the Ceasefire:China’s Anger, America’s Satisfaction|The Chanakya Dialogues|Major Gaurav Arya|",14-05-2025,1119215,36991,4800,"[""India-Pakistan ceasefire"", ""China’s frustration"", ""America’s satisfaction"", ""Geopolitical strategies"", ""South Asian diplomacy"", ""Political and military strategies"", ""India’s sovereign stance"", ""International reactions"", ""Geopolitical game"", ""Ceasefire dynamics"", ""Major Gaurav Arya analysis"", ""India-Pakistan conflict"", ""Ceasefire implications"", ""India-Pakistan relations"", ""China-India-Pakistan relations"", ""Diplomatic moves"", ""Strategic analysis"", ""South Asia conflict resolution""]",Diplomat,Geopolitics,Interview,13.928139,134305.8,967,100,2070,0,2,95,1,0,0,0,0,0,0,1,0,1,0,0
alrmkKpzMOs,https://www.youtube.com/watch?v=alrmkKpzMOs,Ukraine Army Loses Hope. Putin Hammers Ukraine Frontline| The Chanakya Dialogues | Major Gaurav Arya,19-03-2025,730862,36018,1200,"[""Russia"", ""Ukraine"", ""Zelensky"", ""Vladimir Putin"", ""Donald Trump"", ""US"", ""Russian military"", ""Ukraine Military"", ""Russian Win"", ""Aatmanirbharta"", ""Aatmanirbhar Bharat"", ""Made in Russia"", ""GE"", ""Tejas"", ""Kaveri"", ""HAL"", ""Tank"", ""Europe"", ""China"", ""Russia Ukraine War"", ""60 Ukrainian soldiers"", ""Russian Capture"", ""El Pias"", ""Ceasefire"", ""Truce"", ""Trump Putin Phone Call"", ""Energy Industry"", ""Peace Treaty"", ""Military Aid"", ""NATO"", ""Canada"", ""Mexico"", ""Tariff War"", ""India"", ""Morality"", ""Eastern Europe"", ""Ukrainian Minerals"", ""Major Gaurav Arya"", ""The Chanakya Dialogues""]",Military_Veteran,General,Interview,13.50198131,87703.44,1159,100,1975,0,2,151,0,1,0,0,0,0,1,0,0,1,0,0
