video_id,video_url,title,upload_datetime,view_count,like_count,comment_count,tags,guest_type,topic_category,format_type,View_Count_Log,Estimated_Income_INR,duration,Title_Length,Description_Length,upload_hour,upload_dow,Days_Since_Published,guest_type_Diplomat,guest_type_Military_Veteran,guest_type_Other,guest_type_Politician,topic_category_Defense_Analysis,topic_category_Foreign_Policy,topic_category_General,topic_category_Geopolitics,topic_category_Internal_Affairs,format_type_Interview,format_type_Monologue_Explainer,format_type_Panel_Discussion
DS0R7SrNRoE,https://www.youtube.com/watch?v=DS0R7SrNRoE,Amritpal Singh Underwent Plastic Surgery To Look Like Bhindranwale | TCD With Major Gaurav Arya,07-04-2023,569406,34915,3100,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,Foreign_Policy,Interview,13.25235075,68328.72,1410,95,811,0,4,863,0,1,0,0,0,1,0,0,0,1,0,0
CvGLGDTE7CE,https://www.youtube.com/watch?v=CvGLGDTE7CE,Why Did Imran Khan Have a Bucket On His Head? | The Chanakya Dialogues With Major Gaurav Arya,06-04-2023,594973,41426,2700,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,General,Interview,13.29627299,71396.76,1222,93,790,0,3,864,0,1,0,0,0,0,1,0,0,1,0,0
hanWNjKnYBU,https://www.youtube.com/watch?v=hanWNjKnYBU,"India Calls OIC Communal, Asks It To Back Off | TCD With Major Gaurav Arya",05-04-2023,580307,41816,3000,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india foreign affairs"", ""major gaurav arya""]",Military_Veteran,Foreign_Policy,Interview,13.27131428,69636.84,1183,74,784,0,2,865,0,1,0,0,0,1,0,0,0,1,0,0
pYioCS7H0jA,https://www.youtube.com/watch?v=pYioCS7H0jA,"Modi Tops Global List Of Leaders, 76% Rating | The Chanakya Dialogues With Major Gaurav Arya",04-04-2023,488693,41542,3300,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india pakistan news"", ""major gaurav arya"", ""Khalistan"", ""narendra modi"", ""amit shah"", ""s jaishankar"", ""world leaders""]",Diplomat,Geopolitics,Interview,13.09949181,58643.16,1436,92,2095,0,1,866,1,0,0,0,0,0,0,1,0,1,0,0
Ml0Tob4tvx0,https://www.youtube.com/watch?v=Ml0Tob4tvx0,Dr. Jaishankar : Don’t Dare Interfere In India’s Affairs | TCD With Major Gaurav Arya,03-04-2023,540703,32214,8400,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india pakistan news"", ""major gaurav arya""]",Diplomat,General,Interview,13.20062727,64884.36,1359,85,2655,0,0,867,1,0,0,0,0,0,1,0,0,1,0,0
8dwvRAKn9gs,https://www.youtube.com/watch?v=8dwvRAKn9gs,Amit Shah Achieves The Impossible. Hindus Will Visit Sharda Peeth | TCD With Major Gaurav Arya,02-04-2023,2996250,121145,5700,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india foreign affairs"", ""major gaurav arya""]",Military_Veteran,General,Interview,14.9128724,359550.0,1529,94,791,0,6,868,0,1,0,0,0,0,1,0,0,1,0,0
JSN6aV2RmoQ,https://www.youtube.com/watch?v=JSN6aV2RmoQ,Who Celebrates Janamasthami Twice In A Day? We do | EP-6 | TCD With Major Gaurav Arya,02-04-2023,225051,20109,947,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india pakistan news"", ""major gaurav arya""]",Military_Veteran,General,Interview,12.32408677,27006.12,1389,85,782,0,6,868,0,1,0,0,0,0,1,0,0,1,0,0
a5fZRN-3ZQo,https://www.youtube.com/watch?v=a5fZRN-3ZQo,Report Exposes Pakistan Over Brutality Against Minorities | TCD With Major Gaurav Arya,01-04-2023,532934,38073,3400,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""major gaurav arya channel"", ""major gaurav arya""]",Military_Veteran,Geopolitics,Interview,13.18615474,63952.08,1506,86,783,0,5,869,0,1,0,0,0,0,0,1,0,1,0,0
Cy-ja3oB2ZE,https://www.youtube.com/watch?v=Cy-ja3oB2ZE,BEST OF THE WEEK | SATURDAY SPECIAL | THE CHANAKYA DIALOGUES with Major Gaurav Arya,01-04-2023,169570,10504,955,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,General,Interview,12.041027,20348.4,1509,83,780,0,5,869,0,1,0,0,0,0,1,0,0,1,0,0
UF41DYM59lA,https://www.youtube.com/watch?v=UF41DYM59lA,Major Gaurav Arya’s Crush - Harjeet Kaur | EP-5 | The Chanakya Dialogues With Major Gaurav Arya,31-03-2023,642909,39523,2600,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india foreign affairs"", ""major gaurav arya""]",Military_Veteran,General,Interview,13.37376002,77149.08,1465,95,793,0,4,870,0,1,0,0,0,0,1,0,0,1,0,0
